variation,accuracy,best_params,best_score,roc_auc
0.25,0.6707317073170732,"{'svm__C': 0.01, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 50}",0.7560975609756098,0.5446969696969697
0.25,0.8170731707317073,"{'svm__C': 0.5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.8414634146341463,0.6740827478532396
0.25,0.8780487804878049,"{'svm__C': 2, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.7926829268292683,0.8943749999999999
0.50,0.7926829268292683,"{'svm__C': 0.5, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.7439024390243902,0.6967575534266766
0.50,0.8658536585365854,"{'svm__C': 5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.7804878048780488,0.8245791245791245
0.50,0.7439024390243902,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 100}",0.7682926829268293,0.5912280701754385
0.50,0.8414634146341463,"{'svm__C': 5, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 100}",0.8048780487804879,0.7535919540229886
0.50,0.7682926829268293,"{'svm__C': 0.05, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.8292682926829268,0.5944574551131928
0.75,0.7682926829268293,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 1000}",0.7804878048780488,0.6761403508771929
0.75,0.7073170731707317,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 100}",0.7439024390243902,0.576140350877193
0.75,0.3170731707317073,"{'svm__C': 1, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 100}",0.8048780487804879,0.5409836065573771
0.75,0.7073170731707317,"{'svm__C': 0.1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.7439024390243902,0.5711127487103906
0.75,0.8902439024390244,"{'svm__C': 2, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 500}",0.8048780487804879,0.8578296703296702
1.00,0.7317073170731707,"{'svm__C': 1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 500}",0.8292682926829268,0.5680868838763575
1.00,0.8170731707317073,"{'svm__C': 0.1, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 500}",0.8292682926829268,0.6584699453551912
1.00,0.8414634146341463,"{'svm__C': 5, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 100}",0.8170731707317073,0.7596774193548387
1.00,0.7804878048780488,"{'svm__C': 0.05, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly', 'svm__max_iter': 500}",0.7439024390243902,0.7211538461538461
1.00,0.7682926829268293,"{'svm__C': 2, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear', 'svm__max_iter': 1000}",0.7682926829268293,0.7679487179487179
0.00,0.8048780487804879,"{'svm__C': 0.01, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid', 'svm__max_iter': 50}",0.8048780487804879,0.5
0.00,0.7926829268292683,"{'svm__C': 0.05, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf', 'svm__max_iter': 50}",0.9024390243902439,0.7435344827586207
