variation,accuracy,accuracy_female,accuracy_male,auroc,auroc_female,auroc_male,Recall,Precision,F1-score,best_params,best_score
0.00,0.7019230769230769,0.7115384615384616,0.6923076923076923,0.7477810650887574,0.7618343195266273,0.7411242603550295,0.75,0.6842105263157895,0.7155963302752294,"{'logistic__C': 0.5, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear'}",0.7289719626168224
0.00,0.7019230769230769,0.6923076923076923,0.7115384615384616,0.7455621301775147,0.7529585798816568,0.7440828402366864,0.6730769230769231,0.7142857142857143,0.693069306930693,"{'logistic__C': 0.5, 'logistic__class_weight': 'balanced', 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l1', 'logistic__solver': 'liblinear'}",0.6355140186915887
0.00,0.6923076923076923,0.7115384615384616,0.6730769230769231,0.7559171597633135,0.7677514792899408,0.7514792899408285,0.7884615384615384,0.6612903225806451,0.7192982456140351,"{'logistic__C': 0.01, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'lbfgs'}",0.6448598130841121
0.00,0.7019230769230769,0.6923076923076923,0.7115384615384616,0.7518491124260355,0.7633136094674555,0.7426035502958579,0.6730769230769231,0.7142857142857143,0.693069306930693,"{'logistic__C': 0.05, 'logistic__class_weight': 'balanced', 'logistic__fit_intercept': False, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear'}",0.7383177570093458
0.00,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.7444526627218935,0.75,0.7426035502958579,0.75,0.6724137931034483,0.7090909090909091,"{'logistic__C': 0.5, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l1', 'logistic__solver': 'liblinear'}",0.7289719626168224
0.25,0.6634615384615384,0.6538461538461539,0.6730769230769231,0.720414201183432,0.7248520710059172,0.7115384615384616,0.7692307692307693,0.6349206349206349,0.6956521739130435,"{'logistic__C': 0.5, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l1', 'logistic__solver': 'liblinear'}",0.7663551401869159
0.25,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.7185650887573964,0.7189349112426036,0.7100591715976331,0.7307692307692307,0.6551724137931034,0.6909090909090909,"{'logistic__C': 0.5, 'logistic__class_weight': 'balanced', 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear'}",0.7289719626168224
0.25,0.7019230769230769,0.7115384615384616,0.6923076923076923,0.7455621301775148,0.7618343195266273,0.7381656804733727,0.7307692307692307,0.6909090909090909,0.7102803738317757,"{'logistic__C': 0.01, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'liblinear'}",0.616822429906542
0.25,0.6538461538461539,0.6346153846153846,0.6730769230769231,0.7267011834319527,0.7411242603550297,0.7041420118343196,0.7692307692307693,0.625,0.6896551724137931,"{'logistic__C': 0.05, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'lbfgs'}",0.719626168224299
0.25,0.6730769230769231,0.6730769230769231,0.6730769230769231,0.7455621301775148,0.7618343195266273,0.7366863905325444,0.7692307692307693,0.6451612903225806,0.7017543859649122,"{'logistic__C': 0.01, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'lbfgs'}",0.7570093457943925
0.50,0.6634615384615384,0.6153846153846154,0.7115384615384616,0.7474112426035503,0.7529585798816568,0.7529585798816567,0.7884615384615384,0.6307692307692307,0.7008547008547008,"{'logistic__C': 0.01, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'lbfgs'}",0.794392523364486
0.50,0.6730769230769231,0.6346153846153846,0.7115384615384616,0.7411242603550295,0.75,0.7366863905325444,0.7692307692307693,0.6451612903225806,0.7017543859649122,"{'logistic__C': 0.1, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'lbfgs'}",0.7009345794392523
0.50,0.6634615384615384,0.6346153846153846,0.6923076923076923,0.7237426035502958,0.7085798816568047,0.7440828402366864,0.6538461538461539,0.6666666666666666,0.6601941747572816,"{'logistic__C': 0.05, 'logistic__class_weight': 'balanced', 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l1', 'logistic__solver': 'liblinear'}",0.719626168224299
0.50,0.6538461538461539,0.6153846153846154,0.6923076923076923,0.7340976331360947,0.7352071005917159,0.7381656804733728,0.7307692307692307,0.6333333333333333,0.6785714285714286,"{'logistic__C': 0.5, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l1', 'logistic__solver': 'liblinear'}",0.7383177570093458
0.50,0.6634615384615384,0.6346153846153846,0.6923076923076923,0.7237426035502958,0.7085798816568047,0.7440828402366864,0.6538461538461539,0.6666666666666666,0.6601941747572816,"{'logistic__C': 0.05, 'logistic__class_weight': 'balanced', 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l1', 'logistic__solver': 'liblinear'}",0.7009345794392523
0.75,0.6634615384615384,0.6346153846153846,0.6923076923076923,0.7370562130177515,0.7381656804733727,0.7366863905325444,0.75,0.639344262295082,0.6902654867256637,"{'logistic__C': 0.05, 'logistic__class_weight': None, 'logistic__fit_intercept': True, 'logistic__max_iter': 50, 'logistic__penalty': 'l2', 'logistic__solver': 'lbfgs'}",0.8317757009345794
