variation,accuracy,accuracy_female,accuracy_male,ROC,ROC_female,ROC_male
0.00,0.7403846153846154,0.7115384615384616,0.7692307692307693,0.8285872781065088,0.7995562130177515,0.871301775147929
0.00,0.6634615384615384,0.6346153846153846,0.6923076923076923,0.7440828402366864,0.7514792899408285,0.7381656804733727
0.00,0.7211538461538461,0.7307692307692307,0.7115384615384616,0.8028846153846154,0.8165680473372781,0.7928994082840237
0.00,0.6346153846153846,0.5961538461538461,0.6730769230769231,0.7599852071005917,0.6715976331360947,0.8402366863905326
0.00,0.6730769230769231,0.6538461538461539,0.6923076923076923,0.7352071005917159,0.7174556213017751,0.75
0.25,0.7596153846153846,0.75,0.7692307692307693,0.8602071005917159,0.8683431952662722,0.849112426035503
0.25,0.7307692307692307,0.7115384615384616,0.75,0.7951183431952663,0.7559171597633136,0.8343195266272189
0.25,0.7403846153846154,0.75,0.7307692307692307,0.8369082840236686,0.8520710059171598,0.834319526627219
0.25,0.6730769230769231,0.6153846153846154,0.7307692307692307,0.7810650887573963,0.7455621301775148,0.8136094674556212
0.25,0.6826923076923077,0.7115384615384616,0.6538461538461539,0.8402366863905325,0.8727810650887574,0.834319526627219
0.50,0.7211538461538461,0.7692307692307693,0.6730769230769231,0.8176775147928994,0.8535502958579881,0.78698224852071
0.50,0.7403846153846154,0.7115384615384616,0.7692307692307693,0.7884615384615385,0.7514792899408285,0.8313609467455622
0.50,0.7211538461538461,0.7307692307692307,0.7115384615384616,0.7973372781065088,0.7707100591715976,0.8165680473372781
0.50,0.8173076923076923,0.8076923076923077,0.8269230769230769,0.8602071005917159,0.8187869822485209,0.8920118343195267
0.50,0.6826923076923077,0.6730769230769231,0.6923076923076923,0.8590976331360947,0.8372781065088758,0.8875739644970415
0.75,0.7788461538461539,0.8076923076923077,0.75,0.8831360946745562,0.8846153846153847,0.8875739644970414
0.75,0.6730769230769231,0.7115384615384616,0.6346153846153846,0.7688609467455622,0.8062130177514794,0.727810650887574
0.75,0.6057692307692307,0.6346153846153846,0.5769230769230769,0.7670118343195267,0.7662721893491125,0.7810650887573964
0.75,0.6538461538461539,0.6153846153846154,0.6923076923076923,0.75,0.7692307692307692,0.7618343195266273
0.75,0.7115384615384616,0.7307692307692307,0.6923076923076923,0.7862426035502958,0.8017751479289941,0.7721893491124261
1.00,0.8173076923076923,0.8076923076923077,0.8269230769230769,0.8450443786982248,0.8461538461538461,0.8387573964497042
